"state","year","income","medicare","medicaid"
"HI",2013,"<25k",0.428961247420316,0.322172473720417
"HI",2013,"25-50k",0.421568447603761,0.316620091963456
"HI",2013,"50-75k",0.323136895207521,0.242692815505859
"HI",2013,"75-100k",0.214721394175648,0.161267068151921
"HI",2013,">100k",0.511612015592754,0.384247550658347
"ID",2013,"<25k",0.665459526909722,0.488246410760485
"ID",2013,"25-50k",0.792425238715278,0.581400916139025
"ID",2013,"50-75k",0.366111219618056,0.268615117357707
"ID",2013,"75-100k",0.176983072916667,0.129852149714052
"ID",2013,">100k",0.192020941840278,0.140885406028731
"IL",2013,"<25k",7.21375382758811,5.14642183613685
"IL",2013,"25-50k",6.65691617689506,4.74916383243977
"IL",2013,"50-75k",3.61956985156389,2.58226628836032
"IL",2013,"75-100k",1.80618419097101,1.28856431514884
"IL",2013,">100k",2.43557595298193,1.73758372791422
"IN",2013,"<25k",4.25379822050169,2.65682174422053
"IN",2013,"25-50k",3.76150154327251,2.34934488498301
"IN",2013,"50-75k",1.79260222645417,1.11961694633928
"IN",2013,"75-100k",0.86734935298066,0.541725888578431
"IN",2013,">100k",0.831748656790971,0.519490535878744
"IA",2013,"<25k",1.55676157084697,1.09523269887969
"IA",2013,"25-50k",1.62235222806573,1.14137787221405
"IA",2013,"50-75k",0.902760342320803,0.635121437140589
"IA",2013,"75-100k",0.433641315228062,0.305080853045837
"IA",2013,">100k",0.466484543538433,0.328187138719833
"KS",2013,"<25k",1.48254625637156,0.76703540739486
"KS",2013,"25-50k",1.45897976115312,0.754842643639219
"KS",2013,"50-75k",0.788473635985648,0.407938163142738
"KS",2013,"75-100k",0.357742215531977,0.185087611839167
"KS",2013,">100k",0.487258130957697,0.252096173984015
"KY",2013,"<25k",3.53909972366946,2.22872622541329
"KY",2013,"25-50k",2.52006895131247,1.58699788086684
"KY",2013,"50-75k",1.23203694728708,0.775867669603226
"KY",2013,"75-100k",0.546493803643582,0.344151102626592
"KY",2013,">100k",0.594300574087411,0.374257121490056
"LA",2013,"<25k",3.67311417353825,2.92280455589537
"LA",2013,"25-50k",2.55078023563419,2.02973056147007
"LA",2013,"50-75k",1.25398018466184,0.997828769695327
"LA",2013,"75-100k",0.565915531080227,0.450315567212522
"LA",2013,">100k",0.807209875085492,0.642320545726711
"ME",2013,"<25k",0.890951920518756,0.850855686109446
"ME",2013,"25-50k",0.864766591352206,0.825848796623159
"ME",2013,"50-75k",0.435852981936442,0.416237935457228
"ME",2013,"75-100k",0.210180214666068,0.200721303403446
"ME",2013,">100k",0.220248291526528,0.210336278406722
"MD",2013,"<25k",2.73970015854579,1.9206717795846
"MD",2013,"25-50k",2.59408299945599,1.81858660533126
"MD",2013,"50-75k",1.79491860989404,1.25833095637173
"MD",2013,"75-100k",1.09794080936768,0.769713401530077
"MD",2013,">100k",2.1363574227365,1.49769725718234
"MA",2013,"<25k",4.32213238692191,4.05155673280539
"MA",2013,"25-50k",3.55114769106951,3.32883749245484
"MA",2013,"50-75k",2.14058781208073,2.00658197986695
"MA",2013,"75-100k",1.29762272686671,1.21638849184401
"MA",2013,">100k",2.12250938306114,1.9896353030288
"MI",2013,"<25k",7.45505234608342,4.28589301376263
"MI",2013,"25-50k",6.18624802940239,3.55646023391743
"MI",2013,"50-75k",3.24160953842822,1.86359411431829
"MI",2013,"75-100k",1.51489363289248,0.870908980433702
"MI",2013,">100k",1.65619645319348,0.95214365756795
