"year","r","hh","source","value"
2016,"AK","hh1","hdivval",0.0220701446924705
2016,"AK","hh1","hrntval",0.000398308680762414
2016,"AK","hh1","hedval",0.0902298181536792
2016,"AK","hh1","hcspval",0.207469252591809
2016,"AK","hh1","hfinval",0.197536028584739
2016,"AK","hh1","hoival",0.053139720211353
2016,"AK","hh1","htotval",0.0201463823059358
2016,"AK","hh2","hwsval",0.0479920901330005
2016,"AK","hh2","hseval",0.0312038647963702
2016,"AK","hh2","hfrval",-2.58623208564252e-05
2016,"AK","hh2","hucval",0.304979057679479
2016,"AK","hh2","hwcval",0.475120495010841
2016,"AK","hh2","hssval",0.219611948811418
2016,"AK","hh2","hssival",0.285545197973182
2016,"AK","hh2","hpawval",0.104586440031546
2016,"AK","hh2","hvetval",0.32836598707367
2016,"AK","hh2","hsurval",0.0954986702368352
2016,"AK","hh2","hdisval",0.410160962996589
2016,"AK","hh2","hretval",0.0788671201749167
2016,"AK","hh2","hintval",0.0130488265210703
2016,"AK","hh2","hdivval",0.0272469994772751
2016,"AK","hh2","hrntval",0.0423810107534112
2016,"AK","hh2","hedval",0.324480145590857
2016,"AK","hh2","hcspval",0.150656311956448
2016,"AK","hh2","hfinval",0.0643074258129623
2016,"AK","hh2","hoival",0.134230088811174
2016,"AK","hh2","htotval",0.0652747853272575
2016,"AK","hh3","hwsval",0.127814389319734
2016,"AK","hh3","hseval",0.135386795969563
2016,"AK","hh3","hfrval",0.0968328145027733
2016,"AK","hh3","hucval",0.107429024516758
2016,"AK","hh3","hwcval",0.227158326122114
2016,"AK","hh3","hssval",0.203737654882155
2016,"AK","hh3","hssival",0.137047442926539
2016,"AK","hh3","hpawval",0.316577122381657
2016,"AK","hh3","hvetval",0.164703697078613
2016,"AK","hh3","hsurval",0.169056164813607
2016,"AK","hh3","hdisval",0.147485909859197
2016,"AK","hh3","hretval",0.0946848152866625
2016,"AK","hh3","hintval",0.0525494564634686
2016,"AK","hh3","hdivval",0.102747827551982
2016,"AK","hh3","hrntval",0.134185893737717
2016,"AK","hh3","hedval",0.30338179446117
2016,"AK","hh3","hcspval",0.205805244170695
2016,"AK","hh3","hfinval",0.0926659563252751
2016,"AK","hh3","hoival",0.117702704760938
2016,"AK","hh3","htotval",0.129352783273113
