"state","hh","tl","tp","tl_avg","tlp"
"sc","hh1",0.0391915056349288,0.142127264282397,-0.091436021728824,0.181318769917325
"sd","hh1",0.0677411420080834,0.142127264282397,-0.0599623224106977,0.20986840629048
"tn","hh1",0.0139451645484603,0.142127264282397,-0.105215329566903,0.156072428830857
"tx","hh1",-0.0300802519203167,0.142127264282397,-0.161573083633316,0.11204701236208
"ut","hh1",-0.013109839514302,0.142127264282397,-0.140270548933715,0.129017424768095
"vt","hh1",0.0263061515304672,0.142127264282397,-0.0857229742142978,0.168433415812864
"va","hh1",0.0587805548215082,0.142127264282397,-0.100913787875717,0.200907819103905
"wa","hh1",-0.00278907450723339,0.142127264282397,-0.125348857444647,0.139338189775163
"wv","hh1",0.018803416839426,0.142127264282397,-0.113855668181595,0.160930681121823
"wi","hh1",0.00625893340309058,0.142127264282397,-0.179449564081573,0.148386197685487
"wy","hh1",0.0141293062457517,0.142127264282397,-0.0712792802740411,0.156256570528148
"al","hh2",0.176472984778229,0.142127264282397,0.0176945506396984,0.318600249060626
"ak","hh2",0.13807865602212,0.142127264282397,-0.00446805844675559,0.280205920304517
"az","hh2",0.173939054772568,0.142127264282397,-0.0138647695016814,0.316066319054965
"ar","hh2",0.188939448269693,0.142127264282397,0.0211297363549432,0.331066712552089
"ca","hh2",0.163914757014972,0.142127264282397,-0.0217657351174663,0.306042021297369
"co","hh2",0.199543024072594,0.142127264282397,0.0250993393495889,0.341670288354991
"ct","hh2",0.19218698453303,0.142127264282397,-0.018116235300888,0.334314248815426
"de","hh2",0.196864428708307,0.142127264282397,0.0213355965117118,0.338991692990704
"dc","hh2",0.231413606674693,0.142127264282397,0.0195589502312144,0.373540870957089
"fl","hh2",0.147698295385439,0.142127264282397,0.00276232364170467,0.289825559667836
"ga","hh2",0.18704094218407,0.142127264282397,0.00382201661811963,0.329168206466466
"hi","hh2",0.206736551620457,0.142127264282397,0.00628035005650536,0.348863815902853
"id","hh2",0.192511058480663,0.142127264282397,-0.0200750424974501,0.33463832276306
"il","hh2",0.184129639300342,0.142127264282397,0.0284090446062651,0.326256903582738
"in","hh2",0.188139614572669,0.142127264282397,0.0189308697282997,0.330266878855065
"ia","hh2",0.186488935758611,0.142127264282397,0.0137498064649278,0.328616200041008
"ks","hh2",0.208115926955006,0.142127264282397,0.0105875305201453,0.350243191237402
"ky","hh2",0.200606940335218,0.142127264282397,0.0271025868166468,0.342734204617615
"la","hh2",0.171312073944093,0.142127264282397,0.0156507364649666,0.31343933822649
"me","hh2",0.194068952183852,0.142127264282397,0.0235768961858877,0.336196216466248
"md","hh2",0.201312422631947,0.142127264282397,-0.00143749322122947,0.343439686914343
"ma","hh2",0.22622223574467,0.142127264282397,0.00303816155119145,0.368349500027067
"mi","hh2",0.196265189213456,0.142127264282397,0.0203597125122283,0.338392453495852
"mn","hh2",0.229858262948864,0.142127264282397,0.00286077182818098,0.371985527231261
"ms","hh2",0.183330400648608,0.142127264282397,-0.000604506537987055,0.325457664931004
"mo","hh2",0.178773853743287,0.142127264282397,0.00590228605068437,0.320901118025684
"mt","hh2",0.191320462160613,0.142127264282397,0.0180756777178224,0.33344772644301
"ne","hh2",0.208562797596739,0.142127264282397,0.0142361086337451,0.350690061879136
"nv","hh2",0.152671578477168,0.142127264282397,-0.00653602535492554,0.294798842759565
"nh","hh2",0.145310952357531,0.142127264282397,0.0023975516736552,0.287438216639928
