"year","r","hh","source","value"
2016,"AK","hh2","hfinval",1780188
2016,"AK","hh2","hoival",33161595.91
2016,"AK","hh2","htotval",1578957317.67
2016,"AK","hh3","hwsval",2296093967.34
2016,"AK","hh3","hseval",139939338.82
2016,"AK","hh3","hfrval",2019715.3
2016,"AK","hh3","hucval",6600878
2016,"AK","hh3","hwcval",5184750
2016,"AK","hh3","hssval",251864088.7
2016,"AK","hh3","hssival",8748927
2016,"AK","hh3","hpawval",16123134.6
2016,"AK","hh3","hvetval",37449171.69
2016,"AK","hh3","hsurval",20073254.4
2016,"AK","hh3","hdisval",14437801.5
2016,"AK","hh3","hretval",152270157.32
2016,"AK","hh3","hintval",36102745.18
2016,"AK","hh3","hdivval",28681786.27
2016,"AK","hh3","hrntval",37232994.64
2016,"AK","hh3","hedval",32895119.8
2016,"AK","hh3","hcspval",11603525.41
2016,"AK","hh3","hfinval",2565222
2016,"AK","hh3","hoival",29078499.22
2016,"AK","hh3","htotval",3128965077.19
2016,"AK","hh4","hwsval",4916908303.79
2016,"AK","hh4","hseval",238814870.36
2016,"AK","hh4","hfrval",1617520
2016,"AK","hh4","hucval",14209223.12
2016,"AK","hh4","hwcval",4016870
2016,"AK","hh4","hssval",374530207.48
2016,"AK","hh4","hssival",4572044.32
2016,"AK","hh4","hpawval",6984267.84
2016,"AK","hh4","hvetval",37198553.79
2016,"AK","hh4","hsurval",0
2016,"AK","hh4","hdisval",3999000
2016,"AK","hh4","hretval",593433251.88
2016,"AK","hh4","hintval",135382148.83
2016,"AK","hh4","hdivval",73121337
2016,"AK","hh4","hrntval",48185665.3
2016,"AK","hh4","hedval",23305496.7
2016,"AK","hh4","hcspval",17235793.64
2016,"AK","hh4","hfinval",1370508
2016,"AK","hh4","hoival",57374969.62
2016,"AK","hh4","htotval",6552260031.67
2016,"AK","hh5","hwsval",9741979856.36
2016,"AK","hh5","hseval",615229708.13
2016,"AK","hh5","hfrval",17221060.98
2016,"AK","hh5","hucval",14632059
2016,"AK","hh5","hwcval",2778434
2016,"AK","hh5","hssval",225357326.49
2016,"AK","hh5","hssival",1751736.36
2016,"AK","hh5","hpawval",3605631.28
2016,"AK","hh5","hvetval",48496900.32
2016,"AK","hh5","hsurval",57407424.11
2016,"AK","hh5","hdisval",597912
2016,"AK","hh5","hretval",724860960.28
2016,"AK","hh5","hintval",498782125.57
2016,"AK","hh5","hdivval",163577499.67
2016,"AK","hh5","hrntval",180184463.28
2016,"AK","hh5","hedval",7261286
2016,"AK","hh5","hcspval",7350265.68
2016,"AK","hh5","hfinval",16498262
2016,"AK","hh5","hoival",114307137.49
2016,"AK","hh5","htotval",12441880049
2016,"AZ","hh1","hwsval",2574729836.32
2016,"AZ","hh1","hseval",321998823.1
2016,"AZ","hh1","hfrval",-1647.82
2016,"AZ","hh1","hucval",64429117.32
2016,"AZ","hh1","hwcval",0
2016,"AZ","hh1","hssval",2562314806.77
2016,"AZ","hh1","hssival",861372342.44
2016,"AZ","hh1","hpawval",36959545.88
2016,"AZ","hh1","hvetval",157846233.36
2016,"AZ","hh1","hsurval",317852611.09
2016,"AZ","hh1","hdisval",110697609.76
2016,"AZ","hh1","hretval",168389005.92
2016,"AZ","hh1","hintval",41320210.72
2016,"AZ","hh1","hdivval",43445094.2
2016,"AZ","hh1","hrntval",68145065
2016,"AZ","hh1","hedval",265605075.8
2016,"AZ","hh1","hcspval",46633608.7
2016,"AZ","hh1","hfinval",358968932
2016,"AZ","hh1","hoival",0
2016,"AZ","hh1","htotval",8000706270.56
2016,"AZ","hh2","hwsval",9658169018.99
2016,"AZ","hh2","hseval",740030794.1
2016,"AZ","hh2","hfrval",2784.1
2016,"AZ","hh2","hucval",49753720.88
2016,"AZ","hh2","hwcval",0
2016,"AZ","hh2","hssval",4985315588.34
2016,"AZ","hh2","hssival",148638553.92
2016,"AZ","hh2","hpawval",22802981.52
2016,"AZ","hh2","hvetval",409904728.08
2016,"AZ","hh2","hsurval",194951162.96
2016,"AZ","hh2","hdisval",26218054.2
2016,"AZ","hh2","hretval",1197550939.6
2016,"AZ","hh2","hintval",176332739.53
2016,"AZ","hh2","hdivval",173269699.74
2016,"AZ","hh2","hrntval",28967149.78
2016,"AZ","hh2","hedval",210989705.08
2016,"AZ","hh2","hcspval",58157440.12
2016,"AZ","hh2","hfinval",178003462.5
2016,"AZ","hh2","hoival",78562035.11
2016,"AZ","hh2","htotval",18337620558.55
2016,"AZ","hh3","hwsval",26020559485.45
2016,"AZ","hh3","hseval",1148051661.13
2016,"AZ","hh3","hfrval",32143226.63
2016,"AZ","hh3","hucval",82637422.37
2016,"AZ","hh3","hwcval",14616131.4
2016,"AZ","hh3","hssval",4169019746.4
2016,"AZ","hh3","hssival",93371137.68
2016,"AZ","hh3","hpawval",48250629
2016,"AZ","hh3","hvetval",381318530.6
2016,"AZ","hh3","hsurval",194372620
2016,"AZ","hh3","hdisval",111987071.24
2016,"AZ","hh3","hretval",2832994556.98
2016,"AZ","hh3","hintval",419586025.52
2016,"AZ","hh3","hdivval",128216916.45
2016,"AZ","hh3","hrntval",217042514.82
2016,"AZ","hh3","hedval",358758909.2
2016,"AZ","hh3","hcspval",122265701.28
2016,"AZ","hh3","hfinval",6315392
2016,"AZ","hh3","hoival",81044580
2016,"AZ","hh3","htotval",36462552258.15
2016,"AZ","hh4","hwsval",39571003862.32
2016,"AZ","hh4","hseval",1378802982.5
2016,"AZ","hh4","hfrval",13981551.11
2016,"AZ","hh4","hucval",71229213.6
2016,"AZ","hh4","hwcval",76604379
2016,"AZ","hh4","hssval",3958554972.68
2016,"AZ","hh4","hssival",22968513.6
2016,"AZ","hh4","hpawval",0
2016,"AZ","hh4","hvetval",352670573.4
2016,"AZ","hh4","hsurval",195898384.17
2016,"AZ","hh4","hdisval",195697667.8
2016,"AZ","hh4","hretval",4778295907.01
2016,"AZ","hh4","hintval",1350524526.21
2016,"AZ","hh4","hdivval",480689088.95
2016,"AZ","hh4","hrntval",409071010.33
2016,"AZ","hh4","hedval",432241152.4
2016,"AZ","hh4","hcspval",59112613.2
2016,"AZ","hh4","hfinval",65569680
2016,"AZ","hh4","hoival",6843803.52
2016,"AZ","hh4","htotval",53419759881.8
2016,"AZ","hh5","hwsval",75133736345.16
2016,"AZ","hh5","hseval",4790677131.98
2016,"AZ","hh5","hfrval",110088743.27
2016,"AZ","hh5","hucval",3009122.4
2016,"AZ","hh5","hwcval",219343806.54
2016,"AZ","hh5","hssval",2314764804.88
2016,"AZ","hh5","hssival",21839472
2016,"AZ","hh5","hpawval",0
2016,"AZ","hh5","hvetval",192477566.4
2016,"AZ","hh5","hsurval",37098994.4
2016,"AZ","hh5","hdisval",80253670
2016,"AZ","hh5","hretval",4371018594.18
2016,"AZ","hh5","hintval",6242992492.09
2016,"AZ","hh5","hdivval",1536235803.69
2016,"AZ","hh5","hrntval",1187135698.91
2016,"AZ","hh5","hedval",501297155.2
2016,"AZ","hh5","hcspval",83550807.6
2016,"AZ","hh5","hfinval",21187.36
2016,"AZ","hh5","hoival",32671.1
2016,"AZ","hh5","htotval",96825574067.16
2016,"AR","hh1","hwsval",963152838.33
2016,"AR","hh1","hseval",86880363.98
2016,"AR","hh1","hfrval",-6189030.66
2016,"AR","hh1","hucval",7326514.96
2016,"AR","hh1","hwcval",7959745.48
2016,"AR","hh1","hssval",1854258658.35
2016,"AR","hh1","hssival",373462202.14
2016,"AR","hh1","hpawval",13247926.76
2016,"AR","hh1","hvetval",268381073.28
2016,"AR","hh1","hsurval",127496858.16
2016,"AR","hh1","hdisval",120881316.48
2016,"AR","hh1","hretval",47420801.04
2016,"AR","hh1","hintval",45248449.16
2016,"AR","hh1","hdivval",7961476.47
2016,"AR","hh1","hrntval",17228934.78
2016,"AR","hh1","hedval",75025593.6
2016,"AR","hh1","hcspval",32473574.76
2016,"AR","hh1","hfinval",60742598
2016,"AR","hh1","hoival",0
2016,"AR","hh1","htotval",4102959895.07
2016,"AR","hh2","hwsval",6119540782.65
2016,"AR","hh2","hseval",301821347.5
2016,"AR","hh2","hfrval",-8438529.59
2016,"AR","hh2","hucval",16983559.82
2016,"AR","hh2","hwcval",40445490.8
2016,"AR","hh2","hssval",2441461880.43
2016,"AR","hh2","hssival",94812092.76
2016,"AR","hh2","hpawval",0
2016,"AR","hh2","hvetval",191916484.62
2016,"AR","hh2","hsurval",75237306.68
2016,"AR","hh2","hdisval",156266004.44
2016,"AR","hh2","hretval",361732371.54
2016,"AR","hh2","hintval",75070856.72
2016,"AR","hh2","hdivval",49392184.74
2016,"AR","hh2","hrntval",24662439.92
2016,"AR","hh2","hedval",100538750
2016,"AR","hh2","hcspval",74755619.96
2016,"AR","hh2","hfinval",2428969.6
2016,"AR","hh2","hoival",32815.05
2016,"AR","hh2","htotval",10118660427.64
2016,"AR","hh3","hwsval",10645546202.11
2016,"AR","hh3","hseval",415822293.49
2016,"AR","hh3","hfrval",1727.22
2016,"AR","hh3","hucval",22522123.44
2016,"AR","hh3","hwcval",1987762
2016,"AR","hh3","hssval",2242372450.97
2016,"AR","hh3","hssival",88967212.64
2016,"AR","hh3","hpawval",5186341.68
2016,"AR","hh3","hvetval",102302521.08
2016,"AR","hh3","hsurval",32715597.6
2016,"AR","hh3","hdisval",67389096.1
2016,"AR","hh3","hretval",1059861423.61
2016,"AR","hh3","hintval",273763478.62
2016,"AR","hh3","hdivval",40890554.7
2016,"AR","hh3","hrntval",91797666.4
2016,"AR","hh3","hedval",189473437.69
2016,"AR","hh3","hcspval",24059817.6
2016,"AR","hh3","hfinval",0
2016,"AR","hh3","hoival",58594067.48
2016,"AR","hh3","htotval",15363253774.43
2016,"AR","hh4","hwsval",13766481899
2016,"AR","hh4","hseval",597840529.82
2016,"AR","hh4","hfrval",45895455.43
2016,"AR","hh4","hucval",17644762.56
2016,"AR","hh4","hwcval",9602583
2016,"AR","hh4","hssval",1274557039
2016,"AR","hh4","hssival",32949750.48
2016,"AR","hh4","hpawval",0
2016,"AR","hh4","hvetval",24240390.96
2016,"AR","hh4","hsurval",212234603.89
2016,"AR","hh4","hdisval",17632938.32
2016,"AR","hh4","hretval",809340048.79
2016,"AR","hh4","hintval",589848868.93
2016,"AR","hh4","hdivval",115724812.95
2016,"AR","hh4","hrntval",99305787.57
2016,"AR","hh4","hedval",111314428
2016,"AR","hh4","hcspval",143687135.4
2016,"AR","hh4","hfinval",0
2016,"AR","hh4","hoival",8120339
2016,"AR","hh4","htotval",17876421373.1
2016,"AR","hh5","hwsval",32454293092.19
2016,"AR","hh5","hseval",1192579603.26
2016,"AR","hh5","hfrval",84567422.04
2016,"AR","hh5","hucval",5471950
2016,"AR","hh5","hwcval",156104.4
2016,"AR","hh5","hssval",563515978.29
2016,"AR","hh5","hssival",27673975.8
2016,"AR","hh5","hpawval",1103157
2016,"AR","hh5","hvetval",66513428.12
2016,"AR","hh5","hsurval",26368000
2016,"AR","hh5","hdisval",1260.24
2016,"AR","hh5","hretval",1138565445.84
2016,"AR","hh5","hintval",933737813.72
2016,"AR","hh5","hdivval",324141897.78
2016,"AR","hh5","hrntval",262195471.44
2016,"AR","hh5","hedval",107972920
2016,"AR","hh5","hcspval",31823624.38
2016,"AR","hh5","hfinval",358100
2016,"AR","hh5","hoival",85913.85
2016,"AR","hh5","htotval",37221125158.35
2016,"CA","hh1","hwsval",10476366903.29
2016,"CA","hh1","hseval",1344079133.59
2016,"CA","hh1","hfrval",35225646.33
2016,"CA","hh1","hucval",168269991.6
2016,"CA","hh1","hwcval",60300180.78
2016,"CA","hh1","hssval",11868270408.12
2016,"CA","hh1","hssival",4149837669.5
2016,"CA","hh1","hpawval",1136442248.28
2016,"CA","hh1","hvetval",1096034914.16
2016,"CA","hh1","hsurval",1400856223.16
2016,"CA","hh1","hdisval",1051371785.38
2016,"CA","hh1","hretval",561021693.94
2016,"CA","hh1","hintval",190842503.54
2016,"CA","hh1","hdivval",118982417.18
2016,"CA","hh1","hrntval",144270454.07
2016,"CA","hh1","hedval",2498950800.78
2016,"CA","hh1","hcspval",534154622.5
2016,"CA","hh1","hfinval",1734611870.34
2016,"CA","hh1","hoival",40276168.5
2016,"CA","hh1","htotval",38610165635.04
2016,"CA","hh2","hwsval",46845673515.3
2016,"CA","hh2","hseval",5160057124.48
2016,"CA","hh2","hfrval",34678636.18
2016,"CA","hh2","hucval",478080016.71
2016,"CA","hh2","hwcval",292998235.51
2016,"CA","hh2","hssval",18706692354.67
2016,"CA","hh2","hssival",801908328.98
2016,"CA","hh2","hpawval",295768510.18
2016,"CA","hh2","hvetval",803044486.72
2016,"CA","hh2","hsurval",986413375.61
2016,"CA","hh2","hdisval",500574375.28
2016,"CA","hh2","hretval",4354782539.58
2016,"CA","hh2","hintval",692121984.85
2016,"CA","hh2","hdivval",653952089.3
2016,"CA","hh2","hrntval",618707467.95
2016,"CA","hh2","hedval",780808805.02
2016,"CA","hh2","hcspval",429664156.52
2016,"CA","hh2","hfinval",242275158.5
2016,"CA","hh2","hoival",163492872.55
2016,"CA","hh2","htotval",82841694033.89
2016,"CA","hh3","hwsval",104780378603.86
2016,"CA","hh3","hseval",8656959584.46
2016,"CA","hh3","hfrval",156881226.05
2016,"CA","hh3","hucval",669664383.57
2016,"CA","hh3","hwcval",346016603.8
2016,"CA","hh3","hssval",15487694699.19
2016,"CA","hh3","hssival",805209303.54
2016,"CA","hh3","hpawval",149398522.58
2016,"CA","hh3","hvetval",869612768.44
2016,"CA","hh3","hsurval",822528753.2
2016,"CA","hh3","hdisval",740693486.95
2016,"CA","hh3","hretval",10344412160.76
2016,"CA","hh3","hintval",1655411934.98
2016,"CA","hh3","hdivval",1886175352.31
2016,"CA","hh3","hrntval",1258821064.6
2016,"CA","hh3","hedval",1798723489.88
2016,"CA","hh3","hcspval",521044414.5
2016,"CA","hh3","hfinval",387965939
2016,"CA","hh3","hoival",123062339.84
2016,"CA","hh3","htotval",151460654631.51
2016,"CA","hh4","hwsval",202668266574.12
2016,"CA","hh4","hseval",10388334208.87
2016,"CA","hh4","hfrval",141418205.02
2016,"CA","hh4","hucval",579485340.93
2016,"CA","hh4","hwcval",464383768.09
