"year","r","hh","n"
2022,"AK","hh2",115
2022,"AZ","hh2",181
2022,"AR","hh2",268
2022,"CA","hh2",858
2022,"CO","hh2",111
2022,"CT","hh2",97
2022,"DE","hh2",125
2022,"DC","hh2",109
2022,"FL","hh2",654
2022,"GA","hh2",279
2022,"HI","hh2",140
2022,"ID","hh2",211
2022,"IL","hh2",274
2022,"IN","hh2",199
2022,"IA","hh2",135
2022,"KS","hh2",149
2022,"KY","hh2",159
2022,"LA","hh2",281
2022,"ME","hh2",99
2022,"MD","hh2",101
2022,"MA","hh2",185
2022,"MI","hh2",264
2022,"MN","hh2",130
2022,"MS","hh2",277
2022,"MO","hh2",173
2022,"MT","hh2",196
2022,"NE","hh2",134
2022,"NV","hh2",157
2022,"NH","hh2",126
2022,"NJ","hh2",180
2022,"NM","hh2",269
2022,"NY","hh2",369
2022,"NC","hh2",338
2022,"ND","hh2",141
2022,"OH","hh2",273
2022,"OK","hh2",201
2022,"OR","hh2",145
2022,"PA","hh2",305
2022,"RI","hh2",96
2022,"SC","hh2",248
2022,"SD","hh2",142
2022,"TN","hh2",244
2022,"TX","hh2",688
2022,"UT","hh2",129
2022,"VT","hh2",126
2022,"VA","hh2",175
2022,"WA","hh2",157
2022,"WV","hh2",244
2022,"WI","hh2",173
2022,"WY","hh2",143
2022,"AL","hh3",259
2022,"AK","hh3",117
2022,"AZ","hh3",211
2022,"AR","hh3",205
2022,"CA","hh3",964
2022,"CO","hh3",152
2022,"CT","hh3",114
2022,"DE","hh3",133
2022,"DC","hh3",120
2022,"FL","hh3",593
2022,"GA","hh3",252
2022,"HI","hh3",166
2022,"ID","hh3",205
2022,"IL","hh3",293
2022,"IN","hh3",202
2022,"IA","hh3",136
2022,"KS","hh3",127
2022,"KY","hh3",121
2022,"LA","hh3",274
2022,"ME","hh3",89
2022,"MD","hh3",112
2022,"MA","hh3",209
2022,"MI","hh3",268
2022,"MN","hh3",127
2022,"MS","hh3",199
2022,"MO","hh3",185
2022,"MT","hh3",185
2022,"NE","hh3",142
2022,"NV","hh3",184
2022,"NH","hh3",104
2022,"NJ","hh3",169
2022,"NM","hh3",226
2022,"NY","hh3",409
2022,"NC","hh3",308
2022,"ND","hh3",131
2022,"OH","hh3",249
2022,"OK","hh3",185
2022,"OR","hh3",181
2022,"PA","hh3",288
2022,"RI","hh3",88
2022,"SC","hh3",209
2022,"SD","hh3",144
2022,"TN","hh3",219
2022,"TX","hh3",717
2022,"UT","hh3",172
2022,"VT","hh3",156
2022,"VA","hh3",199
2022,"WA","hh3",219
2022,"WV","hh3",221
2022,"WI","hh3",178
2022,"WY","hh3",172
2022,"AL","hh4",208
2022,"AK","hh4",149
2022,"AZ","hh4",194
2022,"AR","hh4",184
2022,"CA","hh4",1058
2022,"CO","hh4",153
2022,"CT","hh4",140
2022,"DE","hh4",132
2022,"DC","hh4",172
2022,"FL","hh4",543
2022,"GA","hh4",242
2022,"HI","hh4",234
2022,"ID","hh4",210
2022,"IL","hh4",300
2022,"IN","hh4",198
2022,"IA","hh4",159
2022,"KS","hh4",145
2022,"KY","hh4",104
2022,"LA","hh4",225
2022,"ME","hh4",104
2022,"MD","hh4",140
2022,"MA","hh4",228
2022,"MI","hh4",266
2022,"MN","hh4",179
2022,"MS","hh4",143
2022,"MO","hh4",186
2022,"MT","hh4",209
2022,"NE","hh4",161
2022,"NV","hh4",162
2022,"NH","hh4",147
2022,"NJ","hh4",216
2022,"NM","hh4",177
2022,"NY","hh4",439
2022,"NC","hh4",253
2022,"ND","hh4",177
2022,"OH","hh4",257
2022,"OK","hh4",180
2022,"OR","hh4",199
2022,"PA","hh4",303
2022,"RI","hh4",98
2022,"SC","hh4",195
2022,"SD","hh4",133
2022,"TN","hh4",198
2022,"TX","hh4",706
2022,"UT","hh4",206
2022,"VT","hh4",166
2022,"VA","hh4",197
2022,"WA","hh4",231
2022,"WV","hh4",164
2022,"WI","hh4",190
2022,"WY","hh4",175
2022,"AL","hh5",170
2022,"AK","hh5",162
2022,"AZ","hh5",184
2022,"AR","hh5",115
2022,"CA","hh5",1299
2022,"CO","hh5",196
2022,"CT","hh5",171
2022,"DE","hh5",137
2022,"DC","hh5",335
2022,"FL","hh5",435
2022,"GA","hh5",209
2022,"HI","hh5",229
2022,"ID","hh5",166
2022,"IL","hh5",360
2022,"IN","hh5",162
2022,"IA","hh5",121
2022,"KS","hh5",148
2022,"KY","hh5",79
2022,"LA","hh5",173
2022,"ME","hh5",67
2022,"MD","hh5",229
2022,"MA","hh5",394
2022,"MI","hh5",246
2022,"MN","hh5",177
2022,"MS","hh5",90
2022,"MO","hh5",140
2022,"MT","hh5",160
2022,"NE","hh5",124
2022,"NV","hh5",126
2022,"NH","hh5",149
2022,"NJ","hh5",296
2022,"NM","hh5",132
2022,"NY","hh5",493
2022,"NC","hh5",246
2022,"ND","hh5",130
2022,"OH","hh5",246
2022,"OK","hh5",108
2022,"OR","hh5",202
2022,"PA","hh5",319
2022,"RI","hh5",107
2022,"SC","hh5",152
2022,"SD","hh5",107
2022,"TN","hh5",153
2022,"TX","hh5",629
2022,"UT","hh5",229
2022,"VT","hh5",145
2022,"VA","hh5",297
2022,"WA","hh5",291
2022,"WV","hh5",135
2022,"WI","hh5",127
2022,"WY","hh5",121
